date,season,venue,team1,team2,toss_winner,toss_decision,winner
2024-12-27,2024/25,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Hobart Hurricanes
2024-12-28,2024/25,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder
2024-12-29,2024/25,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2024-12-30,2024/25,Sydney Showground Stadium,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Sydney Thunder
2024-12-31,2024/25,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2025-01-01,2024/25,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
2025-01-01,2024/25,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
2025-01-02,2024/25,"Docklands Stadium, Melbourne",Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
2025-01-03,2024/25,Perth Stadium,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2025-01-04,2024/25,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
2025-01-05,2024/25,"Bellerive Oval, Hobart",Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes
2025-01-06,2024/25,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2025-01-07,2024/25,Perth Stadium,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2025-01-09,2024/25,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Melbourne Stars
2025-01-10,2024/25,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2025-01-11,2024/25,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Sydney Sixers
2025-01-11,2024/25,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Adelaide Strikers
2025-01-12,2024/25,"Docklands Stadium, Melbourne",Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Stars
2025-01-13,2024/25,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Sydney Thunder
2025-01-14,2024/25,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2025-01-15,2024/25,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2025-01-16,2024/25,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2025-01-17,2024/25,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,
2025-01-18,2024/25,"Docklands Stadium, Melbourne",Brisbane Heat,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2025-01-18,2024/25,Perth Stadium,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2025-01-19,2024/25,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Stars
2025-01-21,2024/25,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
2025-01-22,2024/25,Sydney Showground Stadium,Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder
2025-01-24,2024/25,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2025-01-27,2024/25,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
